CMDLINE C:\Users\Nata\anaconda\envs\opt_project\python.exe yoga-pose-classification-v0.py
MEM 1210.257812 1767781875.0557
MEM 1228.187500 1767781875.1567
MEM 1208.769531 1767781875.2583
MEM 1208.632812 1767781875.3593
MEM 1208.632812 1767781875.4611
MEM 1211.023438 1767781875.5619
MEM 1215.382812 1767781875.6629
MEM 1234.421875 1767781875.7653
MEM 1250.023438 1767781875.8665
MEM 1265.218750 1767781875.9675
MEM 1192.925781 1767781876.0679
MEM 1198.300781 1767781876.1686
MEM 1197.558594 1767781876.2689
MEM 1201.000000 1767781876.3697
MEM 1201.062500 1767781876.4700
MEM 1209.089844 1767781876.5721
MEM 1229.875000 1767781876.6723
MEM 1207.007812 1767781876.7728
MEM 1208.640625 1767781876.8747
MEM 1209.406250 1767781876.9750
MEM 1209.679688 1767781877.0764
MEM 1210.300781 1767781877.1775
MEM 1215.277344 1767781877.2793
MEM 1213.738281 1767781877.3809
MEM 1215.429688 1767781877.4828
MEM 1208.414062 1767781877.5834
MEM 1201.289062 1767781877.6845
MEM 1205.734375 1767781877.7857
MEM 1203.007812 1767781877.8866
MEM 1206.449219 1767781877.9875
MEM 1207.574219 1767781878.0889
MEM 1210.246094 1767781878.1895
MEM 1212.843750 1767781878.2909
MEM 1217.753906 1767781878.3913
MEM 1217.753906 1767781878.4923
MEM 1217.753906 1767781878.5928
MEM 1208.824219 1767781878.6931
MEM 1210.292969 1767781878.7937
MEM 1210.675781 1767781878.8954
MEM 1211.800781 1767781878.9956
MEM 1218.210938 1767781879.0965
MEM 1219.941406 1767781879.1978
MEM 1250.636719 1767781879.2985
MEM 1271.082031 1767781879.3994
MEM 1220.511719 1767781879.5000
MEM 1225.996094 1767781879.6020
MEM 1217.929688 1767781879.7031
MEM 1217.929688 1767781879.8041
MEM 1208.925781 1767781879.9050
MEM 1210.101562 1767781880.0084
MEM 1216.179688 1767781880.1090
MEM 1211.851562 1767781880.2099
MEM 1213.578125 1767781880.3111
MEM 1223.082031 1767781880.4123
MEM 1217.781250 1767781880.5134
MEM 1218.699219 1767781880.6141
MEM 1217.980469 1767781880.7144
MEM 1217.980469 1767781880.8155
MEM 1217.980469 1767781880.9161
MEM 1217.980469 1767781881.0174
MEM 1209.027344 1767781881.1183
MEM 1215.562500 1767781881.2201
MEM 1211.906250 1767781881.3212
MEM 1213.066406 1767781881.4222
MEM 1216.542969 1767781881.5226
MEM 1223.074219 1767781881.6233
MEM 1220.472656 1767781881.7251
MEM 1213.667969 1767781881.8263
MEM 1218.027344 1767781881.9280
MEM 1218.027344 1767781882.0301
MEM 1218.027344 1767781882.1313
MEM 1209.023438 1767781882.2325
MEM 1213.218750 1767781882.3346
MEM 1211.437500 1767781882.4371
MEM 1211.933594 1767781882.5374
MEM 1215.730469 1767781882.6382
MEM 1217.625000 1767781882.7390
MEM 1219.375000 1767781882.8405
MEM 1211.285156 1767781882.9416
MEM 1218.035156 1767781883.0424
MEM 1218.035156 1767781883.1432
MEM 1218.035156 1767781883.2437
MEM 1218.035156 1767781883.3442
MEM 1209.035156 1767781883.4450
MEM 1213.394531 1767781883.5472
MEM 1215.121094 1767781883.6479
MEM 1214.832031 1767781883.7497
MEM 1218.773438 1767781883.8502
MEM 1211.289062 1767781883.9509
MEM 1211.289062 1767781884.0517
MEM 1213.679688 1767781884.1523
MEM 1218.039062 1767781884.2550
MEM 1218.039062 1767781884.3551
MEM 1218.039062 1767781884.4569
MEM 1209.035156 1767781884.5593
MEM 1218.191406 1767781884.6605
MEM 1209.656250 1767781884.7620
MEM 1211.355469 1767781884.8632
MEM 1214.824219 1767781884.9646
MEM 1217.382812 1767781885.0661
MEM 1224.273438 1767781885.1675
MEM 1218.804688 1767781885.2699
MEM 1213.695312 1767781885.3720
MEM 1218.054688 1767781885.4741
MEM 1218.054688 1767781885.5757
MEM 1218.054688 1767781885.6760
MEM 1210.820312 1767781885.7770
MEM 1238.394531 1767781885.8799
MEM 1265.308594 1767781885.9970
MEM 1289.859375 1767781886.0982
MEM 1212.378906 1767781886.1995
MEM 1236.363281 1767781886.3007
MEM 1213.628906 1767781886.4044
MEM 1215.589844 1767781886.5048
MEM 1225.898438 1767781886.6057
MEM 1235.285156 1767781886.7065
MEM 1249.992188 1767781886.8082
MEM 1226.136719 1767781886.9094
MEM 1218.144531 1767781887.0103
MEM 1215.789062 1767781887.1143
MEM 1233.820312 1767781887.2164
MEM 1260.066406 1767781887.3167
MEM 1214.156250 1767781887.4182
MEM 1214.246094 1767781887.5204
MEM 1221.757812 1767781887.6206
MEM 1232.445312 1767781887.7212
MEM 1220.078125 1767781887.8223
MEM 1226.750000 1767781887.9230
MEM 1218.070312 1767781888.0242
MEM 1218.070312 1767781888.1257
MEM 1209.066406 1767781888.2285
MEM 1227.367188 1767781888.3295
MEM 1211.535156 1767781888.4307
MEM 1211.949219 1767781888.5403
MEM 1212.558594 1767781888.6412
MEM 1215.414062 1767781888.7442
MEM 1217.691406 1767781888.8450
MEM 1219.378906 1767781888.9455
MEM 1211.328125 1767781889.0477
MEM 1213.718750 1767781889.1488
MEM 1218.078125 1767781889.2496
MEM 1218.078125 1767781889.3501
MEM 1218.078125 1767781889.4511
MEM 1209.085938 1767781889.5519
MEM 1210.531250 1767781889.6536
MEM 1217.703125 1767781889.7551
MEM 1216.792969 1767781889.8562
MEM 1214.839844 1767781889.9583
MEM 1217.742188 1767781890.0594
MEM 1219.492188 1767781890.1620
MEM 1213.781250 1767781890.2625
MEM 1218.140625 1767781890.3646
MEM 1218.140625 1767781890.4657
MEM 1218.140625 1767781890.5661
MEM 1218.140625 1767781890.6674
MEM 1209.761719 1767781890.7690
MEM 1213.808594 1767781890.8701
MEM 1213.261719 1767781890.9720
MEM 1213.761719 1767781891.0723
MEM 1218.265625 1767781891.1732
MEM 1220.003906 1767781891.2738
MEM 1211.390625 1767781891.3743
MEM 1213.781250 1767781891.4754
MEM 1218.140625 1767781891.5763
MEM 1218.140625 1767781891.6774
MEM 1218.140625 1767781891.7805
MEM 1209.761719 1767781891.8840
MEM 1210.890625 1767781891.9856
MEM 1212.015625 1767781892.0862
MEM 1214.402344 1767781892.1868
MEM 1215.488281 1767781892.2877
MEM 1218.851562 1767781892.3896
MEM 1218.289062 1767781892.4897
MEM 1209.136719 1767781892.5908
MEM 1218.140625 1767781892.6929
MEM 1218.140625 1767781892.7939
MEM 1218.140625 1767781892.8955
MEM 1218.140625 1767781892.9975
MEM 1210.164062 1767781893.0990
MEM 1210.917969 1767781893.1996
MEM 1212.742188 1767781893.3008
MEM 1215.652344 1767781893.4018
MEM 1216.218750 1767781893.5021
MEM 1223.582031 1767781893.6032
MEM 1219.558594 1767781893.7043
MEM 1209.246094 1767781893.8050
MEM 1218.250000 1767781893.9056
MEM 1218.250000 1767781894.0062
MEM 1218.250000 1767781894.1073
